Date,Close,Open,High,Low
30/01/2015,231.80,234.00,244.80,227.20
31/01/2015,218.50,231.80,235.40,216.50
01/02/2015,225.30,218.50,231.40,209.70
02/02/2015,238.90,225.30,242.50,220.50
03/02/2015,227.40,238.90,247.50,223.90
04/02/2015,226.60,227.40,230.70,220.20
05/02/2015,216.50,226.60,229.90,214.40
06/02/2015,223.00,216.50,226.20,215.60
07/02/2015,227.70,223.00,231.00,222.40
08/02/2015,223.70,227.70,230.20,219.50
09/02/2015,220.30,223.70,225.00,215.70
10/02/2015,219.70,220.30,222.20,214.40
11/02/2015,218.80,219.70,223.50,217.30
12/02/2015,221.80,218.80,223.00,217.30
13/02/2015,236.20,221.80,241.60,220.60
14/02/2015,258.60,236.20,261.30,235.40
15/02/2015,233.30,258.60,264.60,226.60
16/02/2015,235.80,233.30,240.00,228.00
17/02/2015,243.20,235.80,247.20,232.00
18/02/2015,235.20,243.20,245.50,231.70
19/02/2015,241.90,235.20,244.10,234.90
20/02/2015,244.50,241.90,247.80,238.80
21/02/2015,244.40,244.50,247.30,242.60
22/02/2015,235.70,244.40,246.50,232.70
23/02/2015,238.80,235.70,240.10,231.30
24/02/2015,238.90,238.80,240.30,235.50
25/02/2015,237.30,238.90,239.60,234.60
26/02/2015,236.50,237.30,238.20,233.50
27/02/2015,253.50,236.50,258.70,235.70
28/02/2015,254.10,253.50,255.40,248.70
01/03/2015,257.90,254.10,260.60,244.80
02/03/2015,273.80,257.90,274.80,256.10
03/03/2015,280.60,273.80,287.10,266.10
04/03/2015,271.90,280.60,284.50,265.90
05/03/2015,275.20,271.90,280.80,262.80
06/03/2015,272.60,275.20,278.00,269.00
07/03/2015,274.90,272.60,278.30,269.40
08/03/2015,274.50,274.90,278.80,271.30
09/03/2015,290.00,274.50,293.30,273.80
10/03/2015,291.40,290.00,301.00,288.10
11/03/2015,295.60,291.40,297.70,288.90
12/03/2015,293.90,295.60,297.00,290.80
13/03/2015,287.20,293.90,294.90,286.10
14/03/2015,281.60,287.20,288.40,279.30
15/03/2015,284.90,281.60,286.40,280.40
16/03/2015,290.40,284.90,294.00,284.80
17/03/2015,285.40,290.40,292.50,283.30
18/03/2015,255.90,285.40,285.60,248.20
19/03/2015,260.90,255.90,264.80,247.00
20/03/2015,261.80,260.90,264.70,257.90
21/03/2015,259.70,261.80,263.30,254.00
22/03/2015,268.60,259.70,270.40,259.00
23/03/2015,265.50,268.60,271.00,259.40
24/03/2015,246.70,265.50,267.00,242.70
25/03/2015,246.40,246.70,249.20,234.80
26/03/2015,248.00,246.40,254.70,243.50
27/03/2015,247.20,248.00,250.10,244.50
28/03/2015,252.00,247.20,254.30,246.30
