Date,Price,Open,High,Low
30/01/2017,920.7,914.5,922.3,911.5
31/01/2017,965.5,920.7,967.5,917.4
01/02/2017,982.4,965.5,986.6,959.8
02/02/2017,"1,004.00",982.4,"1,009.10",973.5
03/02/2017,"1,013.00","1,004.00","1,023.70",989.2
04/02/2017,"1,031.80","1,013.00","1,041.00","1,000.40"
05/02/2017,"1,016.10","1,031.80","1,033.70","1,004.00"
06/02/2017,"1,024.70","1,016.10","1,030.60","1,010.80"
07/02/2017,"1,049.60","1,024.70","1,054.10","1,019.90"
08/02/2017,"1,055.50","1,049.60","1,069.20","1,020.30"
09/02/2017,979,"1,055.50","1,073.00",924.7
10/02/2017,997.6,979,"1,005.60",947
11/02/2017,"1,008.30",997.6,"1,014.30",983.9
12/02/2017,996.5,"1,008.30","1,007.80",992.5
13/02/2017,995.4,996.5,"1,007.60",975.1
14/02/2017,"1,008.30",995.4,"1,013.80",986.5
15/02/2017,"1,008.20","1,008.30","1,010.90",999.7
16/02/2017,"1,031.90","1,008.20","1,040.30","1,007.40"
17/02/2017,"1,049.40","1,031.90","1,057.40","1,025.90"
18/02/2017,"1,052.30","1,049.40","1,063.20","1,044.70"
19/02/2017,"1,048.90","1,052.30","1,056.50","1,037.70"
20/02/2017,"1,077.60","1,048.90","1,081.80","1,041.00"
21/02/2017,"1,119.00","1,077.60","1,123.00","1,073.50"
22/02/2017,"1,120.50","1,119.00","1,132.30","1,094.80"
23/02/2017,"1,171.90","1,120.50","1,181.60","1,113.50"
24/02/2017,"1,176.50","1,171.90","1,211.70","1,092.40"
25/02/2017,"1,149.10","1,176.50","1,180.00","1,116.20"
26/02/2017,"1,171.60","1,149.10","1,177.50","1,130.60"
27/02/2017,"1,188.80","1,171.60","1,195.80","1,164.30"
28/02/2017,"1,189.30","1,188.80","1,208.20","1,175.80"
01/03/2017,"1,222.70","1,189.30","1,225.00","1,154.60"
02/03/2017,"1,255.50","1,222.70","1,287.00","1,212.00"
03/03/2017,"1,283.30","1,255.50","1,291.30","1,250.80"
04/03/2017,"1,264.30","1,283.30","1,285.80","1,228.70"
05/03/2017,"1,271.20","1,264.30","1,273.30","1,242.10"
06/03/2017,"1,277.00","1,271.20","1,280.60","1,261.00"
07/03/2017,"1,232.70","1,277.00","1,280.90","1,148.70"
