Date,Close,Open,High,Low
01/05/2016,8.75,8.74,9,8.35
02/05/2016,10,8.83,10.3,8.79
03/05/2016,9.34,10.01,10.01,9.18
04/05/2016,9.46,9.38,10,9.25
05/05/2016,9.79,9.4,10,9.3
06/05/2016,9.35,9.85,9.98,9.12
07/05/2016,9.35,9.45,9.64,9.2
08/05/2016,9.5,9.41,9.64,9
09/05/2016,9.32,9.51,9.65,9.25
10/05/2016,9.38,9.31,9.47,9.28
11/05/2016,9.89,9.38,9.98,9.3
12/05/2016,10.04,9.92,10.47,9.79
13/05/2016,10.6,10.09,11.11,10.08
14/05/2016,10.16,10.6,10.75,9.71
15/05/2016,9.97,10.25,10.42,9.93
16/05/2016,11.09,10.01,11.47,10
17/05/2016,12.08,11.15,12.6,11.1
18/05/2016,13.35,12.28,14.4,12.21
19/05/2016,14.58,13.4,14.65,13.2
20/05/2016,13.79,14.74,14.89,13.31
21/05/2016,14,13.6,14,13.01
22/05/2016,14.21,14.06,14.51,13.62
23/05/2016,13.42,14.21,14.49,13.32
24/05/2016,12.73,13.38,13.82,12
25/05/2016,12.49,12.84,12.99,11.8
26/05/2016,12.48,12.52,13.07,12.13
27/05/2016,11.12,12.4,12.43,10.53
28/05/2016,11.98,10.99,12.5,10.38
29/05/2016,12.41,11.8,12.89,11.78
30/05/2016,12.72,12.44,12.81,12.3
31/05/2016,14.01,12.78,14.28,12.6
01/06/2016,13.85,14.07,14.3,13.46
02/06/2016,13.8,13.94,14.03,13.61
03/06/2016,13.84,13.82,13.99,13.42
04/06/2016,13.81,13.9,13.9,13.4
05/06/2016,13.95,13.75,13.97,13.69
06/06/2016,14.03,14,14.19,13.8
07/06/2016,14.5,13.94,14.7,13.88
08/06/2016,14.49,14.6,14.89,14.3
09/06/2016,14.45,14.51,14.7,14.37
10/06/2016,13.97,14.44,14.46,13.56
11/06/2016,14.15,13.95,14.28,13.81
12/06/2016,15.8,14.3,16.09,14.25
13/06/2016,17.73,15.75,17.91,15.7
14/06/2016,18.73,17.65,19.41,16
15/06/2016,18.45,18.7,18.75,17.55
16/06/2016,20.7,18.61,21.1,18.44
17/06/2016,15.61,20.86,21.69,11.51
18/06/2016,11.41,15.19,15.3,10.13
19/06/2016,12.43,10.76,13.36,10.55
20/06/2016,11.9,12.33,12.49,10.51
21/06/2016,12.94,11.67,12.98,11.2
22/06/2016,13.25,13.75,15.9,12.95
23/06/2016,13.75,13.26,14,12.5
24/06/2016,14.29,13.76,14.46,13.1
25/06/2016,14.31,14.39,14.84,13.91
26/06/2016,13.75,14.22,14.4,13.53
27/06/2016,13.96,13.71,14.19,13.68
28/06/2016,12.22,13.95,14.07,11.51
29/06/2016,12.77,12.08,13.05,11.57
30/06/2016,12.5,12.64,12.88,12.2
01/07/2016,12.35,12.5,12.58,11.74
02/07/2016,12.14,12.17,12.2,11.95
03/07/2016,11.78,12.06,12.11,11.56
04/07/2016,11.42,11.65,11.85,11.35
05/07/2016,10.53,11.42,11.49,9.35
06/07/2016,10.55,10.37,11.12,10.22
07/07/2016,10.14,10.58,10.67,9.73
08/07/2016,11.31,10.16,11.65,9.9
09/07/2016,10.9,11.37,11.43,10.4
10/07/2016,10.95,10.83,11.02,10.74
11/07/2016,10.51,10.95,11.09,10.2
12/07/2016,10.55,10.48,10.8,10.4
13/07/2016,10.47,10.55,10.6,10.43
14/07/2016,11.6,10.7,11.79,10.69
15/07/2016,11.93,11.5,12.55,11.37
16/07/2016,11.72,11.95,12.05,11.72
17/07/2016,11.24,11.72,11.74,11.02
18/07/2016,11.04,11.31,11.75,11.01
19/07/2016,11.75,11.09,12.24,11.07
20/07/2016,12.48,11.7,13.04,11.55
21/07/2016,12.55,12.52,12.75,12.03
22/07/2016,14.67,12.67,15.15,12.53
23/07/2016,14.25,14.55,14.85,13.9
24/07/2016,12.65,14.33,14.44,12.17
25/07/2016,13.8,12.86,13.8,12.75
26/07/2016,12.01,13.55,13.86,11.91
27/07/2016,13.03,12.01,13.28,11.78
28/07/2016,12.87,12.93,13,12.54
29/07/2016,12.9,12.87,12.94,12.6
30/07/2016,12.52,12.85,12.85,12.47
31/07/2016,11.86,12.45,12.55,11.3
01/08/2016,11.08,12,12.04,11.08
02/08/2016,10.16,11.04,11.2,9.9
03/08/2016,10.16,10.16,10.16,10.16
04/08/2016,10.16,10.16,10.16,10.16
05/08/2016,10.16,10.16,10.16,10.16
06/08/2016,10.16,10.16,10.16,10.16
07/08/2016,10.16,10.16,10.16,10.16
08/08/2016,10.16,10.16,10.16,10.16
09/08/2016,10.16,10.16,10.16,10.16
10/08/2016,12.07,11.99,12.33,11.86
11/08/2016,11.64,11.9,12.1,11.57
12/08/2016,11.67,11.71,11.99,11.57
13/08/2016,11.48,11.69,11.76,11.4
14/08/2016,11.16,11.48,11.67,11
15/08/2016,11.09,11.16,11.28,10.88
16/08/2016,11.07,11.15,11.17,10.83
17/08/2016,10.72,11.07,11.07,10.65
18/08/2016,10.69,10.72,10.97,10.66
19/08/2016,10.68,10.69,10.76,10.61
20/08/2016,11.26,10.69,11.3,10.68
21/08/2016,11.13,11.26,11.3,10.93
22/08/2016,11.14,11.2,11.36,11
23/08/2016,10.99,11.14,11.28,10.9
24/08/2016,10.98,11.03,11.2,10.96
25/08/2016,11.39,10.98,11.39,10.97
26/08/2016,11.22,11.39,11.42,11.13
27/08/2016,11.2,11.26,11.26,11.13
28/08/2016,10.94,11.11,11.16,10.92
29/08/2016,10.93,10.94,11.18,10.78
30/08/2016,11.29,11.03,11.39,10.94
31/08/2016,11.63,11.33,11.63,11.17
01/09/2016,12.22,11.66,12.6,11.61
02/09/2016,12.13,12.22,12.38,11.91
03/09/2016,12.01,12.13,12.43,11.65
04/09/2016,11.73,11.88,11.96,11.6
05/09/2016,11.85,11.73,11.92,11.65
06/09/2016,11.73,11.85,11.92,11.45
07/09/2016,11.64,11.73,11.82,11.6
08/09/2016,11.45,11.64,11.96,11.26
09/09/2016,11.68,11.45,11.9,11.4
10/09/2016,12.13,11.72,12.18,11.58
11/09/2016,11.68,12.13,12.3,11.6
12/09/2016,12,11.8,12.05,11.67
13/09/2016,12.01,12,12.55,11.86
14/09/2016,11.94,12.01,12.33,11.91
15/09/2016,12.01,11.94,12.41,11.91
16/09/2016,12.68,12,12.82,11.99
17/09/2016,12.8,12.6,12.87,12.51
18/09/2016,12.32,12.73,13.1,12.26
19/09/2016,12.9,12.49,13.1,12.48
20/09/2016,14.45,13.15,15.4,13.08
21/09/2016,13.74,14.3,14.35,13.16
22/09/2016,13.17,13.65,13.7,12.47
23/09/2016,13.36,13.3,13.5,13.1
24/09/2016,12.86,13.39,13.47,12.71
25/09/2016,13.05,12.86,13.2,12.77
26/09/2016,12.9,13.14,13.14,12.81
27/09/2016,13.08,12.9,13.27,12.85
28/09/2016,13.25,13.08,13.49,13.04
29/09/2016,13.1,13.25,13.33,13.07
30/09/2016,13.3,13.1,13.43,13.05
01/10/2016,13.18,13.25,13.31,13.05
02/10/2016,13.16,13.18,13.33,13
03/10/2016,13.44,13.22,13.5,13.17
04/10/2016,13.33,13.44,13.5,13.22
05/10/2016,13.11,13.33,13.39,13.08
06/10/2016,12.84,13.11,13.15,12.62
07/10/2016,12.69,12.84,13,12.56
08/10/2016,12.26,12.73,12.76,12
09/10/2016,12.01,12.26,12.56,11.99
10/10/2016,11.73,12.03,12.09,11.6
11/10/2016,11.78,11.76,12.33,11.76
12/10/2016,11.72,11.84,12.06,11.68
13/10/2016,12.07,11.72,12.12,11.72
14/10/2016,11.93,12.07,12.1,11.9
15/10/2016,12.01,11.96,12.05,11.83
16/10/2016,11.98,12.01,12.06,11.92
17/10/2016,12,11.98,12.03,11.81
18/10/2016,12.54,12,12.91,11.98
19/10/2016,11.99,12.54,12.62,11.95
20/10/2016,12.09,11.99,12.32,11.99
21/10/2016,12.16,12.1,12.2,12.09
22/10/2016,12.29,12.16,12.37,12.08
23/10/2016,12.07,12.25,12.26,11.99
24/10/2016,11.99,12.07,12.23,11.98
25/10/2016,11.36,11.99,12,11.12
26/10/2016,11.5,11.36,11.72,11.36
27/10/2016,11.57,11.5,11.66,11.23
28/10/2016,11.15,11.57,11.7,10.85
29/10/2016,10.38,11.15,11.26,9.5
30/10/2016,11.28,10.38,11.53,10.31
31/10/2016,10.96,11.28,11.5,10.88
01/11/2016,10.81,10.96,11.21,10.41
02/11/2016,10.86,10.81,11.25,10.76
03/11/2016,10.86,10.94,11.18,10.81
04/11/2016,11.21,10.86,11.24,10.85
05/11/2016,11.17,11.23,11.24,10.99
06/11/2016,10.91,11.15,11.27,10.91
07/11/2016,10.88,10.91,11.1,10.85
08/11/2016,10.92,10.88,11.21,10.79
09/11/2016,10.72,10.92,10.92,10.2
10/11/2016,10.54,10.66,10.69,10.52
11/11/2016,10.27,10.54,10.58,10.26
12/11/2016,10.01,10.27,10.32,9.7
13/11/2016,10.08,10.01,10.37,9.68
14/11/2016,10,10.08,10.19,9.96
15/11/2016,10.27,10,10.41,9.72
16/11/2016,10.02,10.19,10.5,9.93
17/11/2016,9.99,10.02,10.27,9.9
18/11/2016,9.52,9.96,10.03,9.46
19/11/2016,9.73,9.54,9.86,9.48
20/11/2016,9.57,9.68,9.76,9.49
21/11/2016,9.61,9.54,9.68,9.51
22/11/2016,9.84,9.61,10.26,9.54
23/11/2016,9.69,9.89,9.92,9.68
24/11/2016,9.2,9.69,9.85,8.7
25/11/2016,9.38,9.17,9.69,9.17
26/11/2016,9.33,9.38,9.53,9.22
27/11/2016,8.88,9.33,9.33,8.7
28/11/2016,8.7,8.97,9.02,8.65
29/11/2016,8.16,8.7,8.74,7.74
30/11/2016,8.62,8.16,8.76,8.11
01/12/2016,8.46,8.61,8.61,8.36
02/12/2016,7.7,8.43,8.43,7.1
03/12/2016,7.91,7.76,8.1,7.64
04/12/2016,7.55,7.85,7.91,7.42
05/12/2016,6.7,7.4,7.57,6.5
06/12/2016,7.71,6.68,7.88,5.86
07/12/2016,8.33,7.6,8.7,7.27
08/12/2016,8.3,8.35,8.84,8.24
09/12/2016,8.52,8.1,8.65,8.02
10/12/2016,8.12,8.42,8.55,7.94
11/12/2016,8.19,8.14,8.25,8
12/12/2016,8.45,8.19,8.63,8.09
13/12/2016,8.36,8.49,8.49,8.3
14/12/2016,8.21,8.44,8.49,8.2
15/12/2016,7.83,8.16,8.23,7.71
16/12/2016,7.86,7.86,7.96,7.77
17/12/2016,7.73,7.86,7.9,7.47
18/12/2016,7.93,7.88,7.94,7.74
19/12/2016,7.58,7.93,7.93,7.58
20/12/2016,7.61,7.63,7.75,7.55
21/12/2016,7.89,7.68,7.96,7.64
22/12/2016,7.61,7.84,7.84,7.46
23/12/2016,7.16,7.55,7.68,7.11
24/12/2016,7.25,7.11,7.35,7.11
25/12/2016,7.23,7.25,7.32,7.17
26/12/2016,7.27,7.11,7.35,7.05
27/12/2016,7.12,7.27,7.33,7.08
28/12/2016,7.58,7.2,7.76,7.1
29/12/2016,8.27,7.62,8.6,7.62
