Date,Close,Open,High,Low
24/08/2016,3.84,3.95,3.96,3.61
25/08/2016,3.81,3.84,3.88,3.75
26/08/2016,3.81,3.81,3.9,3.77
27/08/2016,3.78,3.81,3.85,3.62
28/08/2016,3.72,3.78,3.78,3.62
29/08/2016,3.77,3.72,3.84,3.7
30/08/2016,3.81,3.77,3.85,3.74
31/08/2016,3.74,3.81,3.85,3.74
01/09/2016,3.66,3.74,3.9,3.26
02/09/2016,3.84,3.66,4.35,3.65
03/09/2016,3.88,3.84,3.99,3.8
04/09/2016,4.02,3.88,4.08,3.85
05/09/2016,3.96,4.02,4.07,3.94
06/09/2016,3.95,3.96,3.98,3.91
07/09/2016,3.96,3.95,4.03,3.91
08/09/2016,4.01,3.96,4.03,3.95
09/09/2016,3.96,4.01,4.02,3.94
10/09/2016,3.96,3.96,4,3.95
11/09/2016,3.9,3.96,4.04,3.86
12/09/2016,3.88,3.9,3.96,3.77
13/09/2016,3.81,3.88,3.88,3.8
14/09/2016,3.85,3.81,3.85,3.8
15/09/2016,3.81,3.85,3.95,3.81
16/09/2016,3.81,3.81,3.89,3.8
17/09/2016,3.82,3.81,3.88,3.81
18/09/2016,3.87,3.82,3.87,3.81
19/09/2016,3.86,3.87,3.93,3.8
20/09/2016,4,3.86,4,3.76
21/09/2016,3.82,4,6.72,3.61
22/09/2016,3.79,3.76,5.05,3.76
23/09/2016,3.83,3.79,4.2,3.77
24/09/2016,3.87,3.83,4.06,3.83
25/09/2016,3.8,3.87,3.87,3.8
26/09/2016,3.92,3.8,4,3.79
27/09/2016,3.83,3.92,3.92,3.79
28/09/2016,3.81,3.83,3.9,3.79
29/09/2016,3.86,3.81,3.88,3.81
30/09/2016,3.81,3.86,3.87,3.8
01/10/2016,3.85,3.81,3.86,3.81
02/10/2016,3.83,3.85,3.86,3.82
03/10/2016,3.83,3.83,3.94,3.83
04/10/2016,3.85,3.83,3.9,3.81
05/10/2016,3.88,3.85,3.91,3.79
06/10/2016,3.82,3.88,3.88,3.78
07/10/2016,3.82,3.82,3.87,3.8
08/10/2016,3.86,3.82,3.88,3.8
09/10/2016,3.8,3.86,3.86,3.8
10/10/2016,3.79,3.84,3.84,3.79
11/10/2016,3.83,3.79,3.84,3.75
12/10/2016,3.8,3.83,3.83,3.79
13/10/2016,3.83,3.8,3.93,3.8
14/10/2016,3.82,3.83,3.92,3.82
15/10/2016,3.92,3.82,3.94,3.82
16/10/2016,3.88,3.92,3.94,3.86
17/10/2016,3.82,3.88,3.94,3.82
18/10/2016,3.91,3.82,3.91,3.8
19/10/2016,3.79,3.91,3.91,3.79
20/10/2016,3.8,3.79,3.81,3.78
21/10/2016,3.79,3.8,3.81,3.75
22/10/2016,3.84,3.79,3.88,3.75
23/10/2016,3.88,3.84,3.89,3.7
24/10/2016,3.87,3.88,3.89,3.82
25/10/2016,3.85,3.87,3.88,3.8
26/10/2016,3.89,3.85,3.96,3.76
27/10/2016,3.99,3.89,4.14,3.89
28/10/2016,3.9,3.99,4.02,3.88
29/10/2016,4.06,3.9,4.24,3.9
30/10/2016,3.93,4.06,4.25,3.93
31/10/2016,3.98,3.93,4.07,3.92
01/11/2016,4.02,3.98,4.5,3.92
02/11/2016,4.07,4.02,4.35,3.99
03/11/2016,3.9,4.07,4.34,3.8
04/11/2016,3.88,3.9,3.98,3.77
05/11/2016,3.87,3.88,3.94,3.86
06/11/2016,3.91,3.87,3.93,3.85
07/11/2016,3.88,3.91,3.92,3.83
08/11/2016,3.91,3.88,3.91,3.84
09/11/2016,3.98,3.91,3.99,3.77
10/11/2016,3.8,3.98,3.98,3.79
11/11/2016,3.8,3.8,3.86,3.79
12/11/2016,3.75,3.8,3.85,3.72
13/11/2016,3.86,3.75,3.94,3.65
14/11/2016,3.87,3.86,3.91,3.81
15/11/2016,3.92,3.87,3.96,3.84
16/11/2016,3.92,3.92,4.06,3.86
17/11/2016,3.9,3.92,3.96,3.81
18/11/2016,3.87,3.9,3.95,3.85
19/11/2016,3.92,3.87,3.99,3.85
20/11/2016,3.89,3.92,3.99,3.86
21/11/2016,3.93,3.89,3.93,3.87
22/11/2016,3.9,3.93,3.99,3.88
23/11/2016,3.86,3.9,3.97,3.86
24/11/2016,3.9,3.86,3.93,3.86
25/11/2016,3.87,3.9,3.91,3.85
26/11/2016,3.86,3.87,3.91,3.81
27/11/2016,3.87,3.86,3.89,3.82
28/11/2016,3.84,3.87,3.92,3.81
29/11/2016,3.83,3.84,3.91,3.81
30/11/2016,3.84,3.83,3.98,3.51
01/12/2016,3.88,3.84,3.89,3.84
02/12/2016,3.94,3.88,3.94,3.87
03/12/2016,3.9,3.94,3.94,3.87
04/12/2016,3.89,3.9,3.92,3.86
05/12/2016,3.58,3.89,3.89,3.32
06/12/2016,3.5,3.58,3.58,3.42
07/12/2016,3.67,3.51,3.86,3.5
08/12/2016,3.65,3.67,3.77,3.63
09/12/2016,3.74,3.65,3.74,3.61
10/12/2016,3.7,3.74,3.74,3.63
11/12/2016,3.64,3.7,3.7,3.61
12/12/2016,3.64,3.64,3.69,3.62
13/12/2016,3.65,3.64,3.68,3.62
14/12/2016,3.6,3.65,3.66,3.6
15/12/2016,3.5,3.6,3.7,3.5
16/12/2016,3.64,3.64,3.68,3.56
17/12/2016,3.72,3.64,3.72,3.6
18/12/2016,3.62,3.72,3.73,3.62
19/12/2016,3.66,3.69,3.71,3.61
20/12/2016,3.62,3.66,3.69,3.61
21/12/2016,3.66,3.62,3.91,3.62
22/12/2016,3.69,3.66,3.88,3.62
23/12/2016,4.49,3.69,4.49,3.65
24/12/2016,4.47,4.49,5.14,4.2
25/12/2016,4.3,4.47,4.49,4.08
26/12/2016,4.23,4.3,4.37,4.13
27/12/2016,4.33,4.23,4.52,4.18
28/12/2016,4.53,4.33,4.6,4.3
29/12/2016,4.69,4.53,5,4.4
30/12/2016,4.35,4.69,4.69,4.21
31/12/2016,4.36,4.35,4.48,4.28
01/01/2017,4.51,4.36,4.57,4.34
02/01/2017,4.56,4.51,4.9,4.4
03/01/2017,4.55,4.56,4.65,4.42
04/01/2017,4.55,4.55,5.99,4.45
05/01/2017,4.23,4.55,4.88,3.88
06/01/2017,3.88,4.23,4.34,3.83
07/01/2017,3.98,3.88,4.49,3.66
08/01/2017,4.03,3.98,4.4,3.98
09/01/2017,4.39,4.03,4.4,3.89
10/01/2017,4.67,4.39,4.75,4.04
11/01/2017,4.02,4.67,4.68,3.93
12/01/2017,4,4.02,4.14,3.79
13/01/2017,3.97,4,4.06,3.9
14/01/2017,4,3.97,4.25,3.92
15/01/2017,3.96,4,4.1,3.95
16/01/2017,3.88,3.96,3.98,3.88
17/01/2017,3.93,3.88,4.16,3.87
18/01/2017,3.89,3.93,3.95,3.81
19/01/2017,3.88,3.89,3.96,3.83
20/01/2017,3.88,3.88,3.95,3.86
21/01/2017,3.92,3.88,3.93,3.88
22/01/2017,3.86,3.92,3.97,3.85
23/01/2017,3.85,3.86,3.92,3.83
24/01/2017,3.76,3.85,3.89,3.76
25/01/2017,3.69,3.76,3.81,3.65
26/01/2017,3.86,3.69,3.93,3.68
27/01/2017,3.9,3.86,3.96,3.79
28/01/2017,3.87,3.9,3.9,3.85
29/01/2017,3.88,3.87,3.9,3.84
30/01/2017,4.03,3.88,4.09,3.83
31/01/2017,4.07,4.03,4.19,4.03
01/02/2017,4.08,4.07,4.15,3.95
02/02/2017,4.09,4.08,4.11,3.97
03/02/2017,4.06,4.09,4.12,3.91
04/02/2017,4.02,4.06,4.06,3.94
05/02/2017,3.97,4.02,4.03,3.91
06/02/2017,3.97,3.97,4.02,3.94
07/02/2017,3.98,3.97,4.02,3.94
08/02/2017,3.96,3.98,4.06,3.91
09/02/2017,3.76,3.96,3.99,3.62
10/02/2017,3.83,3.76,3.89,3.7
11/02/2017,3.84,3.83,3.88,3.82
12/02/2017,3.8,3.84,3.85,3.77
13/02/2017,3.78,3.8,3.83,3.74
14/02/2017,3.82,3.78,3.82,3.76
15/02/2017,3.89,3.82,3.91,3.81
16/02/2017,3.86,3.89,3.92,3.85
17/02/2017,3.91,3.86,3.95,3.85
18/02/2017,3.84,3.91,3.94,3.8
19/02/2017,3.81,3.84,3.85,3.76
20/02/2017,3.81,3.81,3.85,3.76
21/02/2017,3.85,3.81,3.89,3.76
22/02/2017,3.89,3.85,3.93,3.85
23/02/2017,3.9,3.89,4,3.89
24/02/2017,3.95,3.9,4,3.79
25/02/2017,3.9,3.95,3.98,3.83
26/02/2017,3.89,3.9,3.93,3.84
27/02/2017,3.87,3.89,3.93,3.85
28/02/2017,3.85,3.87,3.94,3.81
01/03/2017,3.86,3.85,3.95,3.8
02/03/2017,4.04,3.86,4.29,3.8
03/03/2017,4.07,4.04,4.5,4.01
04/03/2017,4.04,4.07,4.14,3.88
05/03/2017,4.02,4.04,4.04,3.85
06/03/2017,4.1,4.02,4.1,3.96
07/03/2017,3.99,4.1,4.26,3.9
08/03/2017,3.86,3.99,4.01,3.83
09/03/2017,3.92,3.86,3.95,3.83
10/03/2017,3.8,3.92,4.1,3.7
11/03/2017,3.82,3.8,3.95,3.77
12/03/2017,3.94,3.82,3.95,3.82
13/03/2017,4.4,3.94,4.59,3.89
14/03/2017,4.19,4.4,4.43,4.14
15/03/2017,4.33,4.19,4.45,4.1
16/03/2017,4.31,4.33,4.61,4.22
17/03/2017,4.12,4.31,4.35,4
18/03/2017,4.02,4.12,4.43,3.69
19/03/2017,3.93,4.02,4.12,3.85
20/03/2017,4.18,3.93,4.2,3.85
21/03/2017,4.04,4.18,4.2,3.95
22/03/2017,3.94,4.04,4.05,3.81
23/03/2017,3.96,3.94,4.03,3.9
24/03/2017,4.11,3.96,4.5,3.93
25/03/2017,4.09,4.11,4.18,3.97
26/03/2017,4.1,4.09,4.12,4.04
27/03/2017,4.08,4.1,4.19,4.03
28/03/2017,4.2,4.08,4.22,4.07
29/03/2017,4.3,4.2,4.5,4.12
30/03/2017,7.89,4.3,9.9,4.26
31/03/2017,7.25,7.89,7.9,5.75
01/04/2017,7.61,7.25,7.73,6.65
02/04/2017,8.34,7.61,8.88,7.03
03/04/2017,8.61,8.34,9.5,7.5
04/04/2017,9.15,8.61,9.78,8.35
05/04/2017,13,9.15,13.75,8.88
06/04/2017,10.87,13,13.19,9.7
07/04/2017,9.89,10.87,11.39,9.39
08/04/2017,10.79,9.89,11.39,9.83
09/04/2017,9.26,10.79,10.99,8.57
10/04/2017,9.87,9.26,10.12,8.89
11/04/2017,9.71,9.87,10.35,9.45
12/04/2017,11.69,9.71,12.23,9.66
13/04/2017,11.05,11.69,11.74,10.63
14/04/2017,11.61,11.05,11.84,11.03
