Date,Close,Open,High,Low
30/01/2017,12.73,12.63,12.87,12.53
31/01/2017,13.02,12.73,13.23,12.65
01/02/2017,13.17,13.02,13.22,12.8
02/02/2017,13.13,13.17,13.4,13.04
03/02/2017,12.56,13.13,13.17,12.02
04/02/2017,12.48,12.56,13,12.28
05/02/2017,12.6,12.48,12.82,12.48
06/02/2017,12.64,12.6,12.71,12.4
07/02/2017,12.5,12.64,13.05,12.46
08/02/2017,12.69,12.5,12.8,12.35
09/02/2017,12,12.69,12.81,11.48
10/02/2017,12.06,12,12.18,11.75
11/02/2017,12.27,12.06,12.33,12.06
12/02/2017,12.29,12.27,12.34,12.13
13/02/2017,12.26,12.29,12.34,12.15
14/02/2017,13.01,12.26,13.3,12.15
15/02/2017,13.75,13.01,13.8,12.91
16/02/2017,13.19,13.75,13.8,12.91
17/02/2017,13.45,13.19,13.46,13.16
18/02/2017,13.46,13.45,13.67,13.2
19/02/2017,13.11,13.46,13.48,13.07
20/02/2017,12.28,13.11,13.11,11.48
21/02/2017,12.52,12.28,12.54,12
22/02/2017,12.85,12.52,12.94,12.21
23/02/2017,12.78,12.85,13.02,12.67
24/02/2017,12.78,12.78,12.78,12.78
25/02/2017,11.92,12.1,12.25,11.78
26/02/2017,12,11.92,12.2,11.8
27/02/2017,12,12,12.18,12
28/02/2017,12.27,12,12.4,11.6
01/03/2017,12.33,12.27,13,12.19
02/03/2017,13.09,12.33,13.5,12.18
03/03/2017,14.08,13.09,14.87,12.85
04/03/2017,13.67,14.08,14.36,13.05
05/03/2017,15.31,13.67,16,13.67
06/03/2017,15.45,15.31,15.9,14.85
07/03/2017,13.7,15.45,15.5,13.58
08/03/2017,12.5,13.7,13.87,12.5
09/03/2017,13.03,12.5,13.71,12.36
10/03/2017,13.16,13.03,13.52,12.1
11/03/2017,14.67,13.16,14.74,12.92
12/03/2017,16.84,14.67,17.19,14.36
13/03/2017,18.26,16.84,19.4,16.5
14/03/2017,17.65,18.26,18.5,17.13
15/03/2017,19.06,17.65,19.81,17.4
16/03/2017,22.2,19.06,23,18.75
17/03/2017,21.81,22.2,25.1,19.21
18/03/2017,19.83,21.81,22.04,17.8
19/03/2017,22.85,19.83,24.5,19.83
20/03/2017,22.3,22.85,24.44,22
21/03/2017,21.28,22.3,22.87,20.59
22/03/2017,21.25,21.28,22.34,20.32
23/03/2017,21.76,21.25,22.42,20.5
24/03/2017,21.3,21.76,22.28,20.64
25/03/2017,20.1,21.3,21.7,19.65
26/03/2017,19.38,20.1,20.6,19.13
27/03/2017,19.29,19.38,20.06,17.35
28/03/2017,19.39,19.29,20.29,17.8
29/03/2017,20.87,19.39,21.2,19.12
30/03/2017,19.85,20.87,21.15,19.85
31/03/2017,20.23,19.85,20.8,19.41
01/04/2017,21,20.23,21.23,19
02/04/2017,19.67,21,21.29,19.67
03/04/2017,20.21,19.67,21.03,19.5
04/04/2017,20.48,20.21,20.9,19.78
05/04/2017,19.91,20.48,20.55,19.71
06/04/2017,19.42,19.91,20.25,18.6
07/04/2017,19.78,19.42,20.33,19.16
08/04/2017,21.05,19.78,21.6,19.38
09/04/2017,21.05,21.05,21.59,20
10/04/2017,22.35,21.05,22.9,21.05
11/04/2017,21.82,22.35,22.48,21.57
12/04/2017,22.15,21.82,22.7,21.58
