Date,Close,Open,High,Low
22/01/2015,0.01602,0.01523,0.0175,0.01523
23/01/2015,0.016,0.01602,0.017,0.016
24/01/2015,0.01739,0.016,0.01739,0.015
25/01/2015,0.017,0.01739,0.01739,0.0156
26/01/2015,0.01469,0.017,0.0175,0.01469
27/01/2015,0.0155,0.01469,0.017,0.01469
28/01/2015,0.015,0.0155,0.0167,0.0131
29/01/2015,0.0135,0.015,0.015,0.0131
30/01/2015,0.015,0.0135,0.015,0.0135
31/01/2015,0.01499,0.015,0.015,0.0135
01/02/2015,0.01352,0.01499,0.01499,0.01351
02/02/2015,0.01327,0.015,0.015,0.01327
03/02/2015,0.0148,0.01327,0.015,0.01327
04/02/2015,0.014,0.0148,0.0148,0.014
05/02/2015,0.01573,0.014,0.01573,0.013
06/02/2015,0.0155,0.01573,0.01695,0.014
07/02/2015,0.01468,0.0155,0.0155,0.01401
08/02/2015,0.01428,0.01468,0.01506,0.01428
09/02/2015,0.0135,0.01428,0.01467,0.0135
10/02/2015,0.01464,0.0135,0.01467,0.011
11/02/2015,0.01462,0.01464,0.01464,0.011
12/02/2015,0.0143,0.01462,0.01463,0.01101
13/02/2015,0.01445,0.0143,0.01472,0.01201
14/02/2015,0.012,0.01445,0.01508,0.012
15/02/2015,0.012,0.012,0.012,0.012
16/02/2015,0.01508,0.01509,0.01509,0.012
17/02/2015,0.01301,0.01508,0.01508,0.01202
18/02/2015,0.01499,0.01301,0.01499,0.01301
19/02/2015,0.01307,0.01499,0.01499,0.01307
20/02/2015,0.01307,0.01307,0.01498,0.01307
21/02/2015,0.01307,0.01307,0.0141,0.01307
22/02/2015,0.01307,0.01307,0.01403,0.01307
23/02/2015,0.01403,0.01307,0.01403,0.01307
24/02/2015,0.01343,0.01403,0.01403,0.01307
25/02/2015,0.014,0.01343,0.014,0.01307
26/02/2015,0.013,0.014,0.014,0.0116
27/02/2015,0.01206,0.013,0.01398,0.0116
28/02/2015,0.01178,0.01206,0.0132,0.0116
01/03/2015,0.01101,0.01178,0.01348,0.011
02/03/2015,0.00661,0.01101,0.01208,0.00661
03/03/2015,0.0085,0.00661,0.01205,0.00661
04/03/2015,0.012,0.0085,0.012,0.00843
05/03/2015,0.012,0.012,0.012,0.00933
06/03/2015,0.0104,0.012,0.012,0.00923
07/03/2015,0.0103,0.0104,0.012,0.0103
08/03/2015,0.00978,0.0103,0.01103,0.00976
09/03/2015,0.00981,0.00982,0.01098,0.0098
10/03/2015,0.00954,0.00981,0.01097,0.00883
11/03/2015,0.0077,0.00954,0.01093,0.0077
12/03/2015,0.01082,0.0077,0.01088,0.0077
13/03/2015,0.01071,0.01082,0.01082,0.0082
14/03/2015,0.01112,0.01071,0.01197,0.01015
15/03/2015,0.0106,0.01112,0.01167,0.01016
16/03/2015,0.01054,0.0106,0.01118,0.01016
17/03/2015,0.01053,0.01054,0.01118,0.01053
18/03/2015,0.01024,0.01053,0.01496,0.01016
19/03/2015,0.01093,0.01024,0.01098,0.0079
20/03/2015,0.00752,0.01093,0.01093,0.0075
21/03/2015,0.01011,0.00752,0.01019,0.0075
22/03/2015,0.01004,0.01011,0.0102,0.0094
23/03/2015,0.00973,0.01004,0.0102,0.00973
24/03/2015,0.00994,0.00973,0.00995,0.009
25/03/2015,0.0092,0.00994,0.00994,0.008
26/03/2015,0.0085,0.0092,0.0093,0.0085
27/03/2015,0.00875,0.0085,0.0088,0.0085
28/03/2015,0.00895,0.00875,0.00895,0.00865
29/03/2015,0.00835,0.00895,0.00895,0.0083
30/03/2015,0.0082,0.0081,0.0085,0.0081
31/03/2015,0.00774,0.0082,0.0085,0.0075
01/04/2015,0.0079,0.00774,0.00798,0.00751
02/04/2015,0.00785,0.0079,0.0085,0.00761
03/04/2015,0.00893,0.00785,0.00928,0.00785
04/04/2015,0.00937,0.00893,0.00994,0.00846
05/04/2015,0.00884,0.00937,0.00946,0.0087
06/04/2015,0.00878,0.00884,0.00936,0.00845
07/04/2015,0.0091,0.00878,0.00936,0.00872
08/04/2015,0.00918,0.0091,0.00937,0.00879
09/04/2015,0.00919,0.00918,0.0098,0.00793
10/04/2015,0.00918,0.00919,0.0092,0.00892
11/04/2015,0.008,0.00918,0.00918,0.008
12/04/2015,0.008,0.008,0.00914,0.008
13/04/2015,0.00827,0.008,0.0084,0.008
14/04/2015,0.00827,0.00827,0.00827,0.00827
15/04/2015,0.00827,0.00827,0.00827,0.00827
16/04/2015,0.00827,0.00827,0.00827,0.00827
17/04/2015,0.00827,0.00827,0.00827,0.00827
18/04/2015,0.00827,0.00827,0.00827,0.00827
19/04/2015,0.00827,0.00827,0.00827,0.00827
20/04/2015,0.00356,0.0115,0.0115,0.00356
21/04/2015,0.00356,0.00356,0.00356,0.00356
22/04/2015,0.004,0.004,0.0114,0.00356
23/04/2015,0.00827,0.0082,0.00827,0.0082
24/04/2015,0.00802,0.00827,0.0085,0.008
25/04/2015,0.00802,0.00802,0.00819,0.00802
26/04/2015,0.00778,0.00802,0.00808,0.00778
